"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000286228.1",0,NA,NA,NA,NA,NA
"ENSG00000277125.1",0,NA,NA,NA,NA,NA
"ENSG00000274984.1",0,NA,NA,NA,NA,NA
"ENSG00000262461.6",0,NA,NA,NA,NA,NA
"ENSG00000174384.9",0,NA,NA,NA,NA,NA
"ENSG00000199913.1",0,NA,NA,NA,NA,NA
"ENSG00000274570.5",0,NA,NA,NA,NA,NA
"ENSG00000233369.7",0,NA,NA,NA,NA,NA
"ENSG00000233523.1",0,NA,NA,NA,NA,NA
"ENSG00000182487.12",0,NA,NA,NA,NA,NA
"ENSG00000214544.7",0.0896760825736345,-0.0824243470944037,0.365061034087844,-0.236397224459135,0.813124449729345,NA
"ENSG00000205578.6",0,NA,NA,NA,NA,NA
"ENSG00000130305.17",0.594193933757546,0.442336667577383,0.51144642622244,0.78888910434824,0.430176824418367,NA
"ENSG00000146755.11",0,NA,NA,NA,NA,NA
"ENSG00000225005.1",0,NA,NA,NA,NA,NA
"ENSG00000077800.13",0,NA,NA,NA,NA,NA
"ENSG00000206709.1",0,NA,NA,NA,NA,NA
"ENSG00000202035.1",0,NA,NA,NA,NA,NA
"ENSG00000188763.5",0.156168279873075,-0.143164608819374,0.365280476729512,-0.394421797658177,0.693269653253436,NA
"ENSG00000009954.11",6.53902009315838,-0.417380008067605,0.396782963702311,-1.05252121967363,0.292560480192815,0.779615063587314
"ENSG00000252713.1",0,NA,NA,NA,NA,NA
"ENSG00000106635.8",1.22890481827786,0.107157357864731,0.565737469513506,0.212688649653871,0.831569820481607,NA
"ENSG00000106638.17",1.57104129119425,-0.296792463274828,0.553986274132118,-0.541772870740656,0.58797498263865,NA
"ENSG00000009950.16",0.164649099782347,0.0840618571483921,0.365178464229085,0.275043603861008,0.783282738628328,NA
"ENSG00000274080.1",0,NA,NA,NA,NA,NA
"ENSG00000176428.6",0.148192096159735,-0.0460287507694057,0.3653560156108,-0.111687190589618,0.911071436207955,NA
"ENSG00000176410.8",0,NA,NA,NA,NA,NA
"ENSG00000071462.12",1.87247548661618,-0.192402551225241,0.554355305992193,-0.317399934648516,0.750940156795111,NA
"ENSG00000106089.12",0.306718804547758,-0.167921056747829,0.386372011569292,-0.432828627938351,0.665139273874408,NA
"ENSG00000265724.1",0,NA,NA,NA,NA,NA
"ENSG00000241709.3",0,NA,NA,NA,NA,NA
"ENSG00000225969.2",0.209706855012376,-0.030928322318784,0.365293507451747,-0.0969270930745211,0.922784292941141,NA
"ENSG00000106077.19",0.73434611584298,0.385829893558747,0.533491735471252,0.406710552373648,0.684220589244975,NA
"ENSG00000165215.6",4.41161906761914,0.913064744509633,0.481351229526853,1.92788236383173,0.0538697598683374,0.499939940668236
"ENSG00000189143.10",12.0269421166124,0.904611126437655,0.349050388289108,2.58937291601887,0.00961509057570263,0.238482319534581
"ENSG00000165171.11",0.190303025884687,0.0840618539877141,0.36517846424362,0.299946978589382,0.764217599383669,NA
"ENSG00000175877.4",0,NA,NA,NA,NA,NA
"ENSG00000261467.2",0,NA,NA,NA,NA,NA
"ENSG00000049540.18",0.085482194565138,-0.0824243470944037,0.365061034087844,-0.236397224459135,0.813124449729345,NA
"ENSG00000232415.1",0,NA,NA,NA,NA,NA
"ENSG00000106683.15",1.81565038234784,0.566421493146105,0.550369538275446,1.02380219600656,0.30592871294676,NA
"ENSG00000106682.16",3.00441084997842,0.618156619921899,0.490897895628357,1.2419883311263,0.214240867400329,0.737087257389309
"ENSG00000207741.1",0.765572838595058,0.163110985009419,0.371674164489015,0.225155357473967,0.82185841733719,NA
"ENSG00000086730.17",0,NA,NA,NA,NA,NA
"ENSG00000049541.11",0.481515161341834,-0.321389702419298,0.446726409489554,-0.546728945812339,0.584564964833368,NA
